summary_date,site,nox_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2019-03-19,3658,0.022,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-20,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-21,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-22,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-23,3658,0.005,Lancaster-43301 Division Street,21,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-24,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-25,3658,0.018,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-26,3658,0.019,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-27,3658,0.005,Lancaster-43301 Division Street,18,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-28,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-29,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-30,3658,0.007,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-03-31,3658,0.008,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-01,3658,0.017,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-02,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-03,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-04,3658,0.008,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-05,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-06,3658,0.003,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-07,3658,0.005,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-08,3658,0.010,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-09,3658,0.003,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-10,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-11,3658,0.003,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-12,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-13,3658,0.009,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-14,3658,0.002,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-15,3658,0.006,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-16,3658,0.004,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-17,3658,0.010,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-20,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-21,3658,0.002,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-22,3658,0.011,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-23,3658,0.011,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-24,3658,0.016,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-25,3658,0.006,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-26,3658,0.007,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
2019-04-27,3658,0.003,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ),MD ,Los Angeles,CA,34.669589999999999,-118.13068 
